         
	 U.S. Patent Classes as of 31-DEC-1999	
         -------------------------------------
Source: USPTO

Utility Classes

Class	Title
-----   -----
001	** Classification Undetermined **
002	Apparel
004	Baths, Closets, Sinks, and Spittoons
005	Beds
007	Compound Tools
008	Bleaching and Dyeing; Fluid Treatment and Chemical Modification of Textiles and Fibers
012	Boot and Shoe Making
014	Bridges
015	Brushing, Scrubbing, and General Cleaning
016	Miscellaneous Hardware
019	Textiles:  Fiber Preparation
023	Chemistry: Physical Processes
024	Buckles, Buttons, Clasps, Etc.
026	Textiles: Cloth Finishing
027	Undertaking
028	Textiles:  Manufacturing
029	Metal Working
030	Cutlery
033	Geometrical Instruments
034	Drying and Gas or Vapor Contact with Solids
036	Boots, Shoes, and Leggings
037	Excavating
038	Textiles:  Ironing or Smoothing
040	Card, Picture, or Sign Exhibiting
042	Firearms
043	Fishing, Trapping, and Vermin Destroying
044	Fuel and Related Compositions
047	Plant Husbandry
048	Gas: Heating and Illuminating
049	Movable or Removable Closures
051	Abrasive Tool Making Process, Material, or Composition
052	Static Structures (e.g., Buildings)
053	Package Making
054	Harness
055	Gas Separation
056	Harvesters
057	Textiles:  Spinning, Twisting, and Twining
059	Chain, Staple, and Horseshoe Making
060	Power Plants
062	Refrigeration
063	Jewelry
065	Glass Manufacturing
066	Textiles:  Knitting
068	Textiles:  Fluid Treating Apparatus
069	Leather Manufactures
070	Locks
071	Chemistry: Fertilizers
072	Metal Deforming
073	Measuring and Testing
074	Machine Element or Mechanism
075	Specialized Metallurgical Processes, Compositions for Use Therein, Consolidated Metal Powder Compositions, and Loose Metal Particulate Mixtures
076	Metal Tools and Implements, Making
079	Button Making
081	Tools
082	Turning
083	Cutting
084	Music
086	Ammunition and Explosive-Charge Making
087	Textiles: Braiding, Netting, and Lace Making
089	Ordnance
091	Motors: Expansible Chamber Type
092	Expansible Chamber Devices
095	Gas Separation:  Processes
096	Gas Separation:  Apparatus
099	Foods and Beverages: Apparatus
100	Presses
101	Printing
102	Ammunition and Explosives
104	Railways
105	Railway Rolling Stock
106	Compositions:  Coating or Plastic
108	Horizontally Supported Planar Surfaces
109	Safes, Bank Protection, or a Related Device
110	Furnaces
111	Planting
112	Sewing
114	Ships
116	Signals and Indicators
117	Single-Crystal, Oriented-Crystal, and Epitaxy Growth Processes; Non-Coating Apparatus Therefor
118	Coating Apparatus
119	Animal Husbandry
122	Liquid Heaters and Vaporizers
123	Internal-Combustion Engines
124	Mechanical Guns and Projectors
125	Stone Working
126	Stoves and Furnaces
127	Sugar, Starch, and Carbohydrates
128	Surgery
131	Tobacco
132	Toilet
134	Cleaning and Liquid Contact with Solids
135	Tent, Canopy, Umbrella, or Cane
136	Batteries:  Thermoelectric and Photoelectric
137	Fluid Handling
138	Pipes and Tubular Conduits
139	Textiles:  Weaving
140	Wireworking
141	Fluent Material Handling, with Receiver or Receiver Coacting Means
142	Wood Turning
144	Woodworking
147	Coopering
148	Metal Treatment
149	Explosive and Thermic Compositions or Charges
150	Purses, Wallets, and Protective Covers
152	Resilient Tires and Wheels
156	Adhesive Bonding and Miscellaneous Chemical Manufacture
157	Wheelwright Machines
159	Concentrating Evaporators
160	Flexible or Portable Closure, Partition, or Panel
162	Paper Making and Fiber Liberation
163	Needle and Pin Making
164	Metal Founding
165	Heat Exchange
166	Wells
168	Farriery
169	Fire Extinguishers
171	Unearthing Plants or Buried Objects
172	Earth Working
173	Tool Driving or Impacting
174	Electricity:  Conductors and Insulators
175	Boring or Penetrating the Earth
177	Weighing Scales
178	Telegraphy
180	Motor Vehicles
181	Acoustics
182	Fire Escape, Ladder, or Scaffold
184	Lubrication
185	Motors:  Spring, Weight, or Animal Powered
186	Merchandising
187	Elevator, Industrial Lift Truck, or Stationary Lift for Vehicle
188	Brakes
190	Trunks and Hand-Carried Luggage
191	Electricity:  Transmission To Vehicles
192	Clutches and Power-Stop Control
193	Conveyors, Chutes, Skids, Guides, and Ways
194	Check-Actuated Control Mechanisms
196	Mineral Oils: Apparatus
198	Conveyors:  Power-Driven
199	Type Casting
200	Electricity:  Circuit Makers and Breakers
201	Distillation: Processes, Thermolytic
202	Distillation: Apparatus
203	Distillation: Processes, Separatory
204	Chemistry:  Electrical and Wave Energy
205	Electrolysis:  Processes, Compositions Used Therein, and Methods of Preparing the Compositions
206	Special Receptacle or Package
208	Mineral Oils: Processes and Products
209	Classifying, Separating, and Assorting Solids
210	Liquid Purification or Separation
211	Supports:  Racks
212	Traversing Hoists
213	Railway Draft Appliances
215	Bottles and Jars
216	Etching a Substrate:  Processes
217	Wooden Receptacles
218	High-Voltage Switches with Arc Preventing or Extinguishing Devices
219	Electric Heating
220	Receptacles
221	Article Dispensing
222	Dispensing
223	Apparel Apparatus
224	Package and Article Carriers
225	Severing by Tearing or Breaking
226	Advancing Material of Indeterminate Length
227	Elongated-Member-Driving Apparatus
228	Metal Fusion Bonding
229	Envelopes, Wrappers, and Paperboard Boxes
231	Whips and Whip Apparatus
232	Deposit and Collection Receptacles
234	Selective Cutting (e.g., Punching)
235	Registers
236	Automatic Temperature and Humidity Regulation
237	Heating Systems
238	Railways:  Surface Track
239	Fluid Sprinkling, Spraying, and Diffusing
241	Solid Material Comminution or Disintegration
242	Winding, Tensioning, or Guiding
244	Aeronautics
245	Wire Fabrics and Structure
246	Railway Switches and Signals
248	Supports
249	Static Molds
250	Radiant Energy
251	Valves and Valve Actuation
252	Compositions
254	Implements or Apparatus for Applying Pushing or Pulling Force
256	Fences
257	Active Solid-State Devices (e.g., Transistors, Solid-State Diodes)
258	Railway Mail Delivery
260	Chemistry of Carbon Compounds
261	Gas and Liquid Contact Apparatus
264	Plastic and Nonmetallic Article Shaping or Treating: Processes
266	Metallurgical Apparatus
267	Spring Devices
269	Work Holders
270	Sheet-Material Associating
271	Sheet Feeding or Delivering
273	Amusement Devices:  Games
276	Typesetting
277	Seal for a Joint or Juncture
278	Land Vehicles:  Animal Draft Appliances
279	Chucks or Sockets
280	Land Vehicles
281	Books, Strips, and Leaves
